id;title;channel;minutes;views;kind;url
Ajjf0ZR8MNY;"""Vas, who are we not inviting to Seliger? Details in the description""";;1;219;интервью;https://www.youtube.com/watch?v=Ajjf0ZR8MNY
eo92S4OtMcM;.ГЕРОИ - Василий Якеменко (с.2) Большой, коллективный Путин;ГЕРОИ сегодня;27;45648;интервью;https://www.youtube.com/watch?v=eo92S4OtMcM
YZhGYFOLnLY;20 главных ошибок родителей. Дети, запреты, синие киты. Спикер: Василий Якеменко;Юлия Коваленко;84;17000;интервью;https://www.youtube.com/watch?v=YZhGYFOLnLY
q6uPNjjjlSc;3 вещи убивают вашу реальность: страх, лень и надежда;Денис Царюк and Разговор О...;72;58300;интервью;https://www.youtube.com/watch?v=q6uPNjjjlSc
QohSHW03nhc;Experiment: How deprivation creates the life of your dreams. Part 1.;;5;752;интервью;https://www.youtube.com/watch?v=QohSHW03nhc
7Jch00KD-B0;Experiment: How deprivation creates the life of your dreams. Part 2;;3;363;интервью;https://www.youtube.com/watch?v=7Jch00KD-B0
70ry3ywKRmk;Experiment: How deprivation creates the life of your dreams. Part 3;;6;421;интервью;https://www.youtube.com/watch?v=70ry3ywKRmk
Ix9upAa5k9M;Martin Scorsese on Film Language and Violence / Interview / Russian Voiceover;;11;1500;интервью;https://www.youtube.com/watch?v=Ix9upAa5k9M
7UkDEUvqilA;On the point of assembly of consciousness. Details in the description;;4;236;интервью;https://www.youtube.com/watch?v=7UkDEUvqilA
unA1mlLY6YI;September 23, 2026;;8;244;интервью;https://www.youtube.com/watch?v=unA1mlLY6YI
Arqoe3wIONw;Surkov's associate Yakemenko on how Putin's inner circle makes billions;Om TV;10;30000;интервью;https://www.youtube.com/watch?v=Arqoe3wIONw
DUskUb4VaH4;Vasily Yakemenko. How to read books? Why read books?;Книжные Маяки России;62;6500;интервью;https://www.youtube.com/watch?v=DUskUb4VaH4
b69YBKlKE3I;Vasya, what will happen to a person at Seliger? Details in the description;;1;132;интервью;https://www.youtube.com/watch?v=b69YBKlKE3I
iJ6Fl2oJUoI;WHO TO LISTEN TO? WHO TO PLEASE?;Читаем себя;60;4900;интервью;https://www.youtube.com/watch?v=iJ6Fl2oJUoI
MrMywaPVdkY;What is money? Vasily Yakemenko. Start at 8 a.m.;ШКОЛА ВЕЛИКИХ КНИГ;28;30000;интервью;https://www.youtube.com/watch?v=MrMywaPVdkY
cuUnVc7UU5c;Who are the people spending 5 days with us side-by-side in tents?) Details in the description;;5;380;интервью;https://www.youtube.com/watch?v=cuUnVc7UU5c
PY0njP64ZEM;You aren't reading books. You're just looking at letters👇;;2;282;интервью;https://www.youtube.com/watch?v=PY0njP64ZEM
oreaTrAwEv0;«Семиотика» БОЛЬШОЙ РАЗГОВОР с Якеменко Василием #ШВК;КиноКлуб  Василий Якеменко ;104;11000;интервью;https://www.youtube.com/watch?v=oreaTrAwEv0
FxIm_4dXUKs;"БОЛЬШОЙ РАЗГОВОР #ШВК ""Безумный Мир"" Василий Якеменко 26.11.2018";Большой Разговор;99;7854;интервью;https://www.youtube.com/watch?v=FxIm_4dXUKs
c0lilOU0mPs;"БОЛЬШОЙ РАЗГОВОР #ШВК ""Жизнь по предоплате"" Василий Якеменко и Мария Соболева";Большой Разговор;124;8349;интервью;https://www.youtube.com/watch?v=c0lilOU0mPs
hkO9vzd5wQI;"БОЛЬШОЙ РАЗГОВОР #ШВК ""Ключи Реальности"" Меркулов Дмитрий 26.04.2017";Большой Разговор;64;9900;интервью;https://www.youtube.com/watch?v=hkO9vzd5wQI
3H1kqcXUBF4;"Большой Разговор ""Развод с родителями"", Василий Якеменко и Мария Соболева, 28.06.2024";Большой Разговор;113;20028;интервью;https://www.youtube.com/watch?v=3H1kqcXUBF4
sE9YCAPWFuU;"Большой Разговор ""Спанч Боб"" Якеменко Василий и Соболева Мария 25.03.2019";Большой Разговор;107;10907;интервью;https://www.youtube.com/watch?v=sE9YCAPWFuU
BRDj0Df2twU;"Большой Разговор #ШВК ""Кооператив Взаимопомощь"" Василий Якеменко и Мария Соболева 04.10.2020";Большой Разговор;126;4676;интервью;https://www.youtube.com/watch?v=BRDj0Df2twU
_rE8_hsL1Ic;В чем нужно ПРИЗНАТЬСЯ себе? Есть три типа людей: гении, женщины и НЕУДАЧНИКИ. Василий Якеменко.;Игорь Егоров;23;21522;интервью;https://www.youtube.com/watch?v=_rE8_hsL1Ic
Hm-NO8JIU6o;"Василий Якеменко ""Технология добра//Беги за мной""";EinzatsAA;29;1613;интервью;https://www.youtube.com/watch?v=Hm-NO8JIU6o
tphv4FWjYqg;"Василий Якеменко в ""Позднем разговоре"" ч.2";fnebvideo;10;1183;интервью;https://www.youtube.com/watch?v=tphv4FWjYqg
jzO344r-G0g;Василий Якеменко на слёте Клуба JUST BUSINESS / апрель 2022;JUST BUSINESS;96;8700;интервью;https://www.youtube.com/watch?v=jzO344r-G0g
dAhkL3rD9Es;Василий Якеменко. Как читать книги? Зачем читать книги?;Книжные Маяки России;63;2645;интервью;https://www.youtube.com/watch?v=dAhkL3rD9Es
Dg4zl4ycZ4E;"Василий Якеменко: ""Через 25 лет не будет никого, включая их детей."" @Historical_Chtivo";Историческое Чтиво;87;56481;интервью;https://www.youtube.com/watch?v=Dg4zl4ycZ4E
qIaenMVKpdI;Василий Якеменко: «проснулся с мыслью, где взять денег? Значит, у тебя всё прекрасно»;Денис Царюк;78;76636;интервью;https://www.youtube.com/watch?v=qIaenMVKpdI
Mo1hBB37YAQ;Василий Якеменко: Женщины разучились любить без денег;Денис Царюк;96;28093;интервью;https://www.youtube.com/watch?v=Mo1hBB37YAQ
NXLEaSbH1vg;Василий Якеменко: Правда о 'Селигере', Кино и Будущем Молодежи;Цена Слова;57;13473;интервью;https://www.youtube.com/watch?v=NXLEaSbH1vg
fR1GYzoMff4;Василий Якеменко: Эти ОШИБКИ держат тебя В БЕДНОСТИ / Что МЕШАЕТ тебе стать БОГАТЫМ?;Руслан Сухий | Инвестиции Недвижимость Бизнес ;79;64821;интервью;https://www.youtube.com/watch?v=fR1GYzoMff4
md_UW0ziMAU;Василий Якименко Команда 2018;Виктор Ялфимов;10;528;интервью;https://www.youtube.com/watch?v=md_UW0ziMAU
2GdZnOYpVXA;Волк с Уолл стрит;;1;1800;интервью;https://www.youtube.com/watch?v=2GdZnOYpVXA
antHUUP0kOk;Вступительная речь для информпотока и предпринимателей | Василий Якеменко | Лекториум;Лекториум;53;2777;интервью;https://www.youtube.com/watch?v=antHUUP0kOk
pmOEKY9JyKQ;ГОСУДАРСТВО БЕЗ ПРАВИЛ - НИКАКИХ НОРМАТИВОВ | Василий Якеменко;Подкаст Вадима Коженова;70;31217;интервью;https://www.youtube.com/watch?v=pmOEKY9JyKQ
EF4xRIoKvvo;Дело и природа желаний;Большой Разговор;26;3500;интервью;https://www.youtube.com/watch?v=EF4xRIoKvvo
M2G4J1ZQEpE;День открытых дверей 30.08.2022 | Василий Якеменко;JUST BUSINESS;100;9894;интервью;https://www.youtube.com/watch?v=M2G4J1ZQEpE
